
216,8,Infernal Affairs (2002),"63,858",Andrew Lau
217,8,The Truman Show (1998),"407,875",Peter Weir
218,8,Roman Holiday (1953),"63,443",William Wyler
219,8,Life of Pi (2012),"246,325",Ang Lee
220,8,Pirates of the Caribbean: The Curse of the Black Pearl (2003),"519,625",Gore Verbinski
221,8,Memories of Murder (2003),"33,873",Bong Joon-ho
222,8,All Quiet on the Western Front (1930),"38,373",Lewis Milestone
223,8,Harry Potter and the Deathly Hallows: Part 2 (2011),"303,847",David Yates
224,8,Sleuth (1972),"30,643",Joseph L. Mankiewicz
225,8,Stalker (1979),"43,524",Andrei Tarkovsky
226,8,Jurassic Park (1993),"344,256",Steven Spielberg
227,8,A Streetcar Named Desire (1951),"60,767",Elia Kazan
228,8,Star Trek (2009),"362,442",J.J. Abrams
229,8,Ratatouille (2007),"316,890",Brad Bird
230,8,Ip Man (2008),"86,593",Wilson Yip
231,8,A Fistful of Dollars (1964),"82,374",Sergio Leone
232,8,The Diving Bell and the Butterfly (2007),"69,702",Julian Schnabel
233,8,The Hobbit: An Unexpected Journey (2012),"352,517",Peter Jackson
234,8,District 9 (2009),"388,592",Neill Blomkamp
235,8,Shutter Island (2010),"436,151",Martin Scorsese
236,8,Rain Man (1988),"276,674",Barry Levinson
237,8,Incendies (2010),"36,751",Denis Villeneuve
238,8,Rosemary's Baby (1968),"103,929",Roman Polanski
239,8,La Haine (1995),"63,865",Mathieu Kassovitz
240,8,3 Idiots (2009),"83,178",Rajkumar Hirani
241,8,The Artist (2011),"132,672",Michel Hazanavicius
242,8,Nausicaä of the Valley of the Wind (1984),"53,307",Hayao Miyazaki
243,7.9,Beauty and the Beast (1991),"189,229",Kirk Wise
244,7.9,Three Colors: Red (1994),"43,438",Krzysztof Kieslowski
245,7.9,Bringing Up Baby (1938),"35,695",Howard Hawks
246,7.9,Mystic River (2003),"256,159",Clint Eastwood
247,7.9,In the Heat of the Night (1967),"37,081",Norman Jewison
248,7.9,Arsenic and Old Lace (1944),"45,893",Frank Capra
249,7.9,Before Sunrise (1995),"100,974",Richard Linklater
250,7.9,Papillon (1973),"62,517",Franklin J. Schaffner
